CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.tiltInclination,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.mode,CAMERA.photosTaken,CAMERA.panoPhotoSequence,CAMERA.isVideo,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY1.chargeLevel [%],BATTERY2.chargeLevel [%],BATTERY1.currentPV [V],BATTERY2.currentPV [V],BATTERY1.currentCapacity [mAh],BATTERY2.currentCapacity [mAh],BATTERY1.fullCapacity [mAh],BATTERY2.fullCapacity [mAh],BATTERY1.voltage [V],BATTERY2.voltage [V],BATTERY1.isCellVoltageEstimated,BATTERY1.cellVoltage1 [V],BATTERY1.cellVoltage2 [V],BATTERY1.cellVoltage3 [V],BATTERY1.cellVoltage4 [V],BATTERY1.cellVoltage5 [V],BATTERY1.cellVoltage6 [V],BATTERY1.cellVoltage7 [V],BATTERY1.cellVoltage8 [V],BATTERY1.cellVoltage9 [V],BATTERY1.cellVoltage10 [V],BATTERY1.cellVoltage11 [V],BATTERY1.cellVoltage12 [V],BATTERY1.cellVoltageDeviation [V],BATTERY1.maxCellVoltageDeviation [V],BATTERY1.isCellVoltageDeviationHigh,BATTERY1.isVoltageLow,BATTERY2.isCellVoltageEstimated,BATTERY2.cellVoltage1 [V],BATTERY2.cellVoltage2 [V],BATTERY2.cellVoltage3 [V],BATTERY2.cellVoltage4 [V],BATTERY2.cellVoltage5 [V],BATTERY2.cellVoltage6 [V],BATTERY2.cellVoltage7 [V],BATTERY2.cellVoltage8 [V],BATTERY2.cellVoltage9 [V],BATTERY2.cellVoltage10 [V],BATTERY2.cellVoltage11 [V],BATTERY2.cellVoltage12 [V],BATTERY2.cellVoltageDeviation [V],BATTERY2.maxCellVoltageDeviation [V],BATTERY2.isCellVoltageDeviationHigh,BATTERY2.isVoltageLow,BATTERY1.current [A],BATTERY2.current [A],BATTERY1.temperature [F],BATTERY2.temperature [F],BATTERY1.minTemperature [F],BATTERY2.minTemperature [F],BATTERY1.maxTemperature [F],BATTERY2.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY1.timesCharged,BATTERY2.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.distanceMax [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.location,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.droneManufacturerModel,DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
2023-11-01,10:57:49.90 AM,0m 1.0s,1.0,33.7947874913919,-117.4745176556926,0,0,0.6,1228,0.2,0,0,0,0,0,0,0,0,5.3,1.6,5.5,38.5,38.5,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,1.436,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.7,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.03 AM,0m 1.1s,1.1,33.7947875115098,-117.474517640411,0,0,0.6,1228,0.2,0,0,0,0,0,0,0,0,5.3,1.6,5.5,38.5,38.5,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,1.436,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.7,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.10 AM,0m 1.2s,1.2,33.7947873113276,-117.4745176735011,0,0,0.6,1228,0.3,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.5,38.5,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,1.436,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.6,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.20 AM,0m 1.3s,1.3,33.7947873171523,-117.4745176616666,0,0,0.6,1228,0.3,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.4,38.4,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,1.436,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.6,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.30 AM,0m 1.4s,1.4,33.79478731166,-117.4745176899334,0,0,0.6,1228,0.3,0,0,0,0,0,0,0,0,5.3,1.6,5.5,38.3,38.3,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,1.436,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.6,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.40 AM,0m 1.5s,1.5,33.7947873148147,-117.4745176792951,0,0,0.6,1228,0.3,0,0,0,0,0,0,0,0,5.3,1.6,5.5,38.3,38.3,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.6,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.50 AM,0m 1.6s,1.6,33.794787467718,-117.4745175528454,0,0,0.6,1228,0.4,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.3,38.3,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.7,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.60 AM,0m 1.7s,1.7,33.7947874830426,-117.4745175321208,0,0,0.6,1228,0.4,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.3,38.3,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,4.312,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,10761.3,1434.84,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.7,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.70 AM,0m 1.8s,1.8,33.7947874557511,-117.4745175547609,0,0,0.6,1228,0.4,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.3,38.3,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,11130.4,1484.05,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.7,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.80 AM,0m 1.9s,1.9,33.7947874693564,-117.4745175364774,0,0,0.6,1228,0.4,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.3,38.3,,Starting Motors,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,11130.4,1484.05,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.7,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:50.90 AM,0m 2.0s,2.0,33.7947872727133,-117.4745175772453,0,0,0.6,1228,0.5,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.3,38.3,,Manual Takeoff,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,11130.4,1484.05,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.6,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,Flight mode changed to Manual Takeoff.,
2023-11-01,10:57:50.96 AM,0m 2.1s,2.1,33.7947872699765,-117.474517559638,0,0,0.6,1228,0.5,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.3,38.3,,Manual Takeoff,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,11130.4,1484.05,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.6,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
2023-11-01,10:57:51.06 AM,0m 2.2s,2.2,33.794787440888,-117.4745174174198,0,0,0.6,1228,0.6,0,0,0,0,0,0,0,0,5.4,1.6,5.6,38.3,38.3,,Manual Takeoff,Other,Takeoff (RC Assisted),10,4,True,,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,31.8,31.8,False,False,False,False,False,,0,0,False,False,No Card,100,100,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,,51.804,,10186,,10290,,51.804,,True,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,4.319,0,,False,False,True,,,,,,,,,,,,,,,False,False,3.886,,77.1,,77.1,,77.1,,,40,,10,5,11130.4,1484.05,,Idle,,20,,10,,18,,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,33.7947857633989,-117.4745164449773,0.6,0.7,993.6,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,"Corona, CA",1485.8,11.5,288.7,6.966949,3.35541,0,0,DJI Matrice 300 RTK,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PK42FA4003H,DJI Pilot,Android,7.0.2,E4624DBA-E48B-FD0F-F438-CA33F28FF446,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,,,,,
